artifact_id,name,primary_template,master_ref
ART-01,kravprofil_og_behovsbeskrivelse,TMP-09,01_organisasjonsmodell/HR_REKRUTTERING_OG_STILLINGSUTLYSNINGER.md
ART-02,stillingsutlysning,TMP-09,01_organisasjonsmodell/HR_REKRUTTERING_OG_STILLINGSUTLYSNINGER.md
ART-03,kandidatmatrise,TMP-10,01_organisasjonsmodell/HR_REKRUTTERING_OG_STILLINGSUTLYSNINGER.md
ART-04,intervjuguide,TMP-10,01_organisasjonsmodell/HR_REKRUTTERING_OG_STILLINGSUTLYSNINGER.md
ART-05,oppfolgingsplan_sykefravaer,TMP-04,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md
ART-06,handover_og_saksnotat,TMP-04,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md
ART-07,hms_risikovurdering_og_tiltaksplan,TMP-04,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md
ART-08,laerekontrakt_og_arbeidsavtale_sjekkliste,TMP-04,01_organisasjonsmodell/HR_REKRUTTERING_OG_STILLINGSUTLYSNINGER.md
ART-09,onboarding_30_60_90_plan,TMP-11,01_organisasjonsmodell/HR_REKRUTTERING_OG_STILLINGSUTLYSNINGER.md
ART-10,beslutningsnotat_hr,TMP-02,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md
ART-11,moteunderlag_hr,TMP-03,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md
ART-12,prosesskort_hr,TMP-06,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md
