role_id,title,unit_id,reports_to,process_owner_for,must_have_skills,should_have_skills,systems,regulations,artifacts,risks,local_status,master_ref,styrk08_ref
R-02,HR-sjef,U-01,organisasjonsdirektor,P-08,SK-01|SK-03|SK-07|SK-09|SK-15,SK-08|SK-10|SK-12,S-01|S-03|S-04,REG-01|REG-02|REG-04|REG-05|REG-06,ART-10|ART-11|ART-12,RSK-01|RSK-02|RSK-03|RSK-05,aktiv_pilot,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md,maa_verifiseres_lokalt_i_klass_api
R-03,avdelingssjef_lederstotte_og_personalsaker,U-02,R-02,P-03|P-08,SK-01|SK-06|SK-10|SK-11|SK-15,SK-08|SK-09|SK-12,S-03|S-04,REG-01|REG-02|REG-05|REG-06,ART-06|ART-10|ART-11|ART-12,RSK-01|RSK-02|RSK-04,aktiv_pilot,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md,maa_verifiseres_lokalt_i_klass_api
R-04,avdelingssjef_rekruttering_og_kompetanse,U-03,R-02,P-06,SK-02|SK-03|SK-09|SK-10|SK-15,SK-08|SK-12|SK-13|SK-14,S-01|S-05|S-06|S-07,REG-02|REG-06|REG-09,ART-01|ART-02|ART-03|ART-09|ART-10,RSK-02|RSK-05|RSK-07,aktiv_pilot,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md,maa_verifiseres_lokalt_i_klass_api
R-05,HR-radgiver,U-02,R-03,,SK-01|SK-08|SK-11|SK-12,SK-06|SK-10|SK-15,S-03|S-04,REG-01|REG-02|REG-06,ART-05|ART-06|ART-10|ART-11,RSK-01|RSK-02|RSK-04,aktiv_pilot,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md,maa_verifiseres_lokalt_i_klass_api
R-06,HR-jurist,U-02,R-02,P-03,SK-01|SK-07|SK-11|SK-12|SK-15,SK-08|SK-10,S-03|S-04,REG-01|REG-02|REG-04|REG-05|REG-06,ART-06|ART-10|ART-11,RSK-01|RSK-02|RSK-04,aktiv_pilot,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md,maa_verifiseres_lokalt_i_klass_api
R-07,forhandlingsradgiver,U-04,R-02,,SK-01|SK-07|SK-08|SK-15,SK-09|SK-12,S-01|S-04,REG-04|REG-05|REG-06,ART-06|ART-10|ART-11,RSK-01|RSK-02|RSK-03,aktiv_pilot,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md,maa_verifiseres_lokalt_i_klass_api
R-08,HMS-radgiver,U-04,R-02,P-05,SK-05|SK-08|SK-09|SK-12,SK-06|SK-11|SK-15,S-01|S-02|S-03,REG-01|REG-06|REG-07,ART-06|ART-07|ART-10|ART-11,RSK-03|RSK-05|RSK-06,aktiv_pilot,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md,maa_verifiseres_lokalt_i_klass_api
R-09,rekrutteringsradgiver,U-03,R-04,P-02,SK-02|SK-08|SK-12|SK-13,SK-03|SK-09|SK-11,S-05|S-07,REG-02|REG-03|REG-06|REG-09,ART-01|ART-02|ART-03|ART-04,RSK-02|RSK-07,aktiv_pilot,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md,maa_verifiseres_lokalt_i_klass_api
R-10,laerlingkoordinator,U-03,R-04,P-04,SK-04|SK-08|SK-12|SK-14,SK-02|SK-09|SK-10,S-05|S-06|S-08,REG-02|REG-06|REG-08,ART-02|ART-08|ART-09,RSK-02|RSK-08,aktiv_pilot,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md,maa_verifiseres_lokalt_i_klass_api
R-11,kompetanseradgiver,U-03,R-04,,SK-03|SK-09|SK-10|SK-14,SK-08|SK-12|SK-15,S-01|S-06|S-07,REG-06,ART-09|ART-10|ART-11,RSK-05|RSK-06,aktiv_pilot,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md,maa_verifiseres_lokalt_i_klass_api
R-12,e_laeringsradgiver,U-03,R-04,,SK-08|SK-12|SK-14,SK-03|SK-09|SK-10,S-06|S-07,REG-06,ART-09|ART-10,RSK-05|RSK-06,aktiv_pilot,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md,maa_verifiseres_lokalt_i_klass_api
R-13,IA-radgiver,U-02,R-03,P-01,SK-06|SK-08|SK-11|SK-12,SK-05|SK-09|SK-10,S-01|S-02|S-03|S-09,REG-01|REG-06,ART-05|ART-06|ART-10|ART-11,RSK-02|RSK-04|RSK-05,aktiv_pilot,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md,maa_verifiseres_lokalt_i_klass_api
R-14,radgiver_for_leder_og_organisasjonsutvikling,U-03,R-04,,SK-10|SK-14|SK-15,SK-03|SK-08|SK-09|SK-12,S-01|S-06|S-07,REG-06,ART-09|ART-10|ART-11,RSK-03|RSK-05|RSK-06,aktiv_pilot,01_organisasjonsmodell/HR_ROLLE_OG_KOMPETANSEMASTER.md,maa_verifiseres_lokalt_i_klass_api
