template_id,name,path,purpose,master_ref
TMP-01,SIMULERINGSNOTAT_TEMPLATE,09_templates_og_output/maler/SIMULERINGSNOTAT_TEMPLATE.md,simulering,09_templates_og_output/TEMPLATEINDEKS.md
TMP-02,BESLUTNINGSNOTAT_TEMPLATE,09_templates_og_output/maler/BESLUTNINGSNOTAT_TEMPLATE.md,beslutningsstotte,09_templates_og_output/TEMPLATEINDEKS.md
TMP-03,MOTEUNDERLAG_TEMPLATE,09_templates_og_output/maler/MOTEUNDERLAG_TEMPLATE.md,mote,09_templates_og_output/TEMPLATEINDEKS.md
TMP-04,LEVERANSEUTKAST_TEMPLATE,09_templates_og_output/maler/LEVERANSEUTKAST_TEMPLATE.md,produksjon,09_templates_og_output/TEMPLATEINDEKS.md
TMP-05,HR_RAD_TEMPLATE,09_templates_og_output/maler/HR_RAD_TEMPLATE.md,kort_hr_rad,09_templates_og_output/TEMPLATEINDEKS.md
TMP-06,PROSESSKORT_TEMPLATE,09_templates_og_output/maler/PROSESSKORT_TEMPLATE.md,prosess,09_templates_og_output/TEMPLATEINDEKS.md
TMP-07,ROLLEKORT_TEMPLATE,09_templates_og_output/maler/ROLLEKORT_TEMPLATE.md,rollebeskrivelse,09_templates_og_output/TEMPLATEINDEKS.md
TMP-08,KOMPETANSEMATRISE_TEMPLATE,09_templates_og_output/maler/KOMPETANSEMATRISE_TEMPLATE.md,kompetansekartlegging,09_templates_og_output/TEMPLATEINDEKS.md
TMP-09,STILLINGSUTLYSNING_TEMPLATE,09_templates_og_output/maler/STILLINGSUTLYSNING_TEMPLATE.md,rekruttering,09_templates_og_output/TEMPLATEINDEKS.md
TMP-10,KANDIDATVURDERING_OG_INTERVJUGUIDE_TEMPLATE,09_templates_og_output/maler/KANDIDATVURDERING_OG_INTERVJUGUIDE_TEMPLATE.md,rekruttering,09_templates_og_output/TEMPLATEINDEKS.md
TMP-11,ONBOARDING_30_60_90_TEMPLATE,09_templates_og_output/maler/ONBOARDING_30_60_90_TEMPLATE.md,onboarding,09_templates_og_output/TEMPLATEINDEKS.md
